line_item_id,quantity,product_id,product_name,price,total
339,17,5,Wooden Shoes,8.22,139.74
514,1,5,Wooden Shoes,8.22,8.22
494,17,5,Wooden Shoes,8.22,139.74
982,7,5,Wooden Shoes,8.22,57.540000000000006
716,14,5,Wooden Shoes,8.22,115.08000000000001
469,16,5,Wooden Shoes,8.22,131.52
328,9,5,Wooden Shoes,8.22,73.98
331,20,5,Wooden Shoes,8.22,164.4
1023,17,5,Wooden Shoes,8.22,139.74
337,1,5,Wooden Shoes,8.22,8.22
58,5,5,Wooden Shoes,8.22,41.1
507,6,5,Wooden Shoes,8.22,49.32000000000001
937,20,5,Wooden Shoes,8.22,164.4
924,8,5,Wooden Shoes,8.22,65.76
834,16,5,Wooden Shoes,8.22,131.52
93,6,5,Wooden Shoes,8.22,49.32000000000001
597,13,5,Wooden Shoes,8.22,106.86000000000001
1004,3,5,Wooden Shoes,8.22,24.660000000000004
387,13,5,Wooden Shoes,8.22,106.86000000000001
1104,6,5,Wooden Shoes,8.22,49.32000000000001
49,19,38,Wooden Mouse,5.04,95.76
212,15,38,Wooden Mouse,5.04,75.6
258,19,38,Wooden Mouse,5.04,95.76
629,16,38,Wooden Mouse,5.04,80.64
978,3,38,Wooden Mouse,5.04,15.120000000000001
704,5,38,Wooden Mouse,5.04,25.2
166,20,38,Wooden Mouse,5.04,100.8
951,5,38,Wooden Mouse,5.04,25.2
802,14,38,Wooden Mouse,5.04,70.56
94,14,38,Wooden Mouse,5.04,70.56
912,2,38,Wooden Mouse,5.04,10.08
854,4,38,Wooden Mouse,5.04,20.16
563,9,38,Wooden Mouse,5.04,45.36
878,1,38,Wooden Mouse,5.04,5.04
1025,7,38,Wooden Mouse,5.04,35.28
1029,13,38,Wooden Mouse,5.04,65.52
1068,8,38,Wooden Mouse,5.04,40.32
301,15,38,Wooden Mouse,5.04,75.6
541,1,9,Unbranded Wooden Keyboard,0.83,0.83
767,11,9,Unbranded Wooden Keyboard,0.83,9.129999999999999
502,16,9,Unbranded Wooden Keyboard,0.83,13.28
981,4,9,Unbranded Wooden Keyboard,0.83,3.32
743,19,9,Unbranded Wooden Keyboard,0.83,15.77
972,5,9,Unbranded Wooden Keyboard,0.83,4.1499999999999995
36,16,9,Unbranded Wooden Keyboard,0.83,13.28
342,10,9,Unbranded Wooden Keyboard,0.83,8.299999999999999
27,12,9,Unbranded Wooden Keyboard,0.83,9.959999999999999
825,3,9,Unbranded Wooden Keyboard,0.83,2.4899999999999998
125,14,9,Unbranded Wooden Keyboard,0.83,11.62
357,15,9,Unbranded Wooden Keyboard,0.83,12.45
836,14,9,Unbranded Wooden Keyboard,0.83,11.62
390,18,9,Unbranded Wooden Keyboard,0.83,14.94
866,15,9,Unbranded Wooden Keyboard,0.83,12.45
306,17,9,Unbranded Wooden Keyboard,0.83,14.11
747,11,9,Unbranded Wooden Keyboard,0.83,9.129999999999999
644,11,9,Unbranded Wooden Keyboard,0.83,9.129999999999999
616,10,9,Unbranded Wooden Keyboard,0.83,8.299999999999999
266,8,9,Unbranded Wooden Keyboard,0.83,6.64
607,14,9,Unbranded Wooden Keyboard,0.83,11.62
385,11,9,Unbranded Wooden Keyboard,0.83,9.129999999999999
815,19,39,Unbranded Wooden Hat,6.36,120.84
752,11,39,Unbranded Wooden Hat,6.36,69.96000000000001
861,4,39,Unbranded Wooden Hat,6.36,25.44
221,6,39,Unbranded Wooden Hat,6.36,38.160000000000004
843,16,39,Unbranded Wooden Hat,6.36,101.76
921,7,39,Unbranded Wooden Hat,6.36,44.52
589,7,39,Unbranded Wooden Hat,6.36,44.52
380,2,39,Unbranded Wooden Hat,6.36,12.72
778,11,39,Unbranded Wooden Hat,6.36,69.96000000000001
12,18,39,Unbranded Wooden Hat,6.36,114.48
473,20,39,Unbranded Wooden Hat,6.36,127.2
974,19,39,Unbranded Wooden Hat,6.36,120.84
520,16,39,Unbranded Wooden Hat,6.36,101.76
127,14,26,Unbranded Chicken,4.86,68.04
579,14,26,Unbranded Chicken,4.86,68.04
888,2,26,Unbranded Chicken,4.86,9.72
874,16,26,Unbranded Chicken,4.86,77.76
864,9,26,Unbranded Chicken,4.86,43.74
63,9,26,Unbranded Chicken,4.86,43.74
907,6,26,Unbranded Chicken,4.86,29.160000000000004
408,11,26,Unbranded Chicken,4.86,53.46
1057,3,26,Unbranded Chicken,4.86,14.580000000000002
353,17,26,Unbranded Chicken,4.86,82.62
10,18,26,Unbranded Chicken,4.86,87.48
538,7,26,Unbranded Chicken,4.86,34.02
170,20,26,Unbranded Chicken,4.86,97.2
618,16,26,Unbranded Chicken,4.86,77.76
932,20,26,Unbranded Chicken,4.86,97.2
971,16,26,Unbranded Chicken,4.86,77.76
169,19,26,Unbranded Chicken,4.86,92.34
755,17,26,Unbranded Chicken,4.86,82.62
